,Restaurant,Cusines_all,price_for_one,Rating,delivery_review_number,location,Longitude,Latitude
26893,Empire Juices And Ice Creams, Ice Cream,100,4.1,731,BTM,77.60456543,12.91127585
26894,Empire Juices And Ice Creams, Ice Cream,100,4.5,781,Brigade Road,77.6074716,12.9736132
26895,Empire Juices And Ice Creams, Ice Cream,100,4.0,2112,Jayanagar,77.5824229,12.9292731
26896,Empire Juices And Ice Creams, Ice Cream,100,4.3,905,Koramangala 5th Block,77.6189768,12.9348429
26897,Empire Juices And Ice Creams, Ice Cream,100,4.2,1028,Brookefield,77.7168891,12.9668213
26898,Empire Juices And Ice Creams, Ice Cream,100,3.7,1345,Rajajinagar,77.554883,12.9882338
26899,Empire Juices And Ice Creams, Ice Cream,100,4.3,1747,Bannerghatta Road,77.6041899,12.9521804
26900,Empire Juices And Ice Creams, Ice Cream,100,3.5,913,HSR,77.6398674,12.9092342
26901,Empire Juices And Ice Creams, Ice Cream,100,4.0,1468,Indiranagar,77.6404672,12.9732913
26902,Empire Juices And Ice Creams, Ice Cream,100,4.0,1530,Kammanahalli,77.6377094,13.0093455
26908,Ipsha's Kitchen, Salad,200,4.0,193,Rajajinagar,77.554883,12.9882338
26909,Happy Belly Bakes, Beverages,200,4.6,874,Frazer Town,77.6130165,12.996845
26910,Happy Belly Bakes, Beverages,200,4.4,914,Indiranagar,77.6404672,12.9732913
26911,Happy Belly Bakes, Beverages,250,4.4,690,MG Road,77.6067902,12.9755264
26912,Adukkala Restaurant, North Indian,300,3.5,5097,Kalyan Nagar,77.6403368,13.0221416
26913,Adukkala Restaurant, North Indian,250,3.6,1680,Rammurthy Nagar,77.564105,13.0393922
26914,Red Rhino, Oriental,900,3.9,4756,Whitefield,77.7497448,12.9696365
26915,Kadak Biryanis & Grill, Chinese,250,4.1,6263,New BEL Road,77.564105,13.0393922
26916,CANTAN - Chinese Bar House, Thai,900,4.2,469,Lavelle Road,77.5997248,12.9749487
26917,Sinful Desserts, Shake,200,4.0,210,Bommasandra,77.6916113,12.8162443
26918,Cafe Coffee Day, Beverages,300,3.8,744,Bellandur,77.6782471,12.93103185
26919,Cafe Coffee Day, Beverages,300,3.7,246,Malleshwaram,77.5703253,13.0027353
26920,Cafe Coffee Day, Beverages,300,4.2,116,Koramangala 4th Block,77.6294052,12.9327778
26921,Cafe Coffee Day, Beverages,300,3.8,878,Indiranagar,77.6404672,12.9732913
26922,Cafe Coffee Day, Beverages,300,3.6,302,Rajajinagar,77.554883,12.9882338
26923,Cafe Coffee Day, Beverages,300,4.0,56,Jayanagar,77.5824229,12.9292731
26924,Cafe Coffee Day, Beverages,300,4.0,51,MG Road,77.6067902,12.9755264
26925,Cafe Coffee Day, Beverages,300,3.8,1052,Bannerghatta Road,77.6041899,12.9521804
26926,Cafe Coffee Day, Beverages,300,3.8,0,BTM,77.60456543,12.91127585
26927,Cafe Coffee Day, Beverages,300,3.8,481,Sahakara Nagar,77.58006135,13.0621474
26928,Cafe Coffee Day, Beverages,300,3.9,2046,Marathahalli,77.6984163,12.9552572
26929,Cafe Coffee Day, Beverages,300,3.6,251,Koramangala 5th Block,77.6189768,12.9348429
26930,Cafe Coffee Day, Beverages,300,3.5,1715,Whitefield,77.7497448,12.9696365
26931,Cafe Coffee Day, Beverages,300,3.5,614,HSR,77.6398674,12.9092342
26932,Cafe Coffee Day, Beverages,300,3.7,693,JP Nagar,77.5782713,12.9072515
26933,Cafe Coffee Day, Beverages,300,3.8,7,Lavelle Road,77.5997248,12.9749487
26934,Cafe Coffee Day, Beverages,300,4.2,381,Jayanagar,77.5824229,12.9292731
26935,Cafe Coffee Day, Beverages,250,3.5,500,Banashankari,77.59445195,12.96528325
26936,Cafe Coffee Day, Beverages,250,4.0,26,Brigade Road,77.6074716,12.9736132
26937,Cafe Coffee Day, Beverages,250,4.0,45,Kalyan Nagar,77.6403368,13.0221416
26938,Sanadige - Goldfinch Hotel, South Indian,600,3.6,298,Goldfinch Hotel,77.6782471,12.93103185
26939,Happetizer, North Indian,150,0.0,5,Kaggadasapura,77.6790908,12.9846713
26955,M Cafe - Bengaluru Marriott Hotel Whitefield, Thai,1250,3.6,240,Bengaluru Marriott Hotel Whitefield,77.61250656,12.96591365
26956,Hyderabad Biryani House, Biryani,400,4.1,6144,Malleshwaram,77.5703253,13.0027353
26966,Smoke House Deli Delivery, Salad,450,4.2,712,Bommanahalli,77.6239038,12.9089453
26967,RK Fresh Food, Beverages,150,3.6,4290,BTM,77.60456543,12.91127585
26968,Salaam Sigri Rolls & Kebabs, North Indian,250,4.2,534,New BEL Road,77.564105,13.0393922
26969,Pizza Plutos, Shake,300,3.9,439,New BEL Road,77.564105,13.0393922
26970,Mealful Rolls - India's Biggest Rolls, Desserts,200,4.4,596,Bannerghatta Road,77.6041899,12.9521804
26971,Mealful Rolls - India's Biggest Rolls, Desserts,200,3.8,424,Koramangala 6th Block,77.6238477,12.9390255
26972,Mealful Rolls - India's Biggest Rolls, Desserts,200,4.0,672,Kammanahalli,77.6377094,13.0093455
26973,Mealful Rolls - India's Biggest Rolls, Desserts,200,4.0,43,Langford Town,77.6037312,12.957998
26974,Mealful Rolls - India's Biggest Rolls, Desserts,200,3.9,385,Marathahalli,77.6984163,12.9552572
26975,Mealful Rolls - India's Biggest Rolls, Desserts,200,4.0,105,Ulsoor,77.6246697,12.9778793
26976,Mealful Rolls - India's Biggest Rolls, Desserts,200,4.0,586,Banashankari,77.59445195,12.96528325
26977,Mealful Rolls - India's Biggest Rolls, Desserts,200,4.2,153,City Market,77.57627054,12.965718
26978,Mealful Rolls - India's Biggest Rolls, Desserts,200,3.6,195,Bellandur,77.6782471,12.93103185
26979,Mealful Rolls - India's Biggest Rolls, Desserts,200,4.3,514,Indiranagar,77.6404672,12.9732913
26980,Mealful Rolls - India's Biggest Rolls, Desserts,200,4.2,90,Jayanagar,77.5824229,12.9292731
26981,Mealful Rolls - India's Biggest Rolls, Desserts,200,4.3,203,Seshadripuram,77.5753419,12.9931876
