,Restaurant,Cusines_all,price_for_one,delivery_review_number,location
237435,Punjabi Food Corner, Beverages,250,10600,"jp nagar, bangalore"
237498,Sri Krishna Nalapaka, Shake,175,819,"hsr, bangalore"
237556,With Love From Home, Mughlai,150,4463,"brookefield, bangalore"
237557,Mom's Pot Family Restaurant, Biryani,150,359,"bommasandra, bangalore"
237566,Oru Vadakkan Cafe,,150,2880,"koramangala 5th block, bangalore"
237567,Buffalo Wild Wings, Desserts,800,386,"phoenix marketcity bangalore, whitefield, bangalore"
237771,VR Grand,,200,192,"rammurthy nagar, bangalore"
237772,Chai Resto, Desserts,100,30,"indiranagar, bangalore"
237882,Savi Sagar, Ice Cream,250,20000,"malleshwaram, bangalore"
237991,Food Park,,250,845,"rajarajeshwari nagar, bangalore"
238014,Kerala Mess Upahar, Chinese,150,13800,"bellandur, bangalore"
238015,Naadan's Family Restaurant,,225,23,"whitefield, bangalore"
238017,Ambrosia, Desserts,750,1163,"rajarajeshwari nagar, bangalore"
238120,Sri Nidhi Sagar, Ice Cream,150,292,"domlur, bangalore"
238121,Tipsy Lassi Shop,,100,233,"shivajinagar, bangalore"
238186,Sri Udupi Sannidhi, Beverages,225,5341,"kr puram, bangalore"
238237,Mainland China,,500,561,"sarjapur road, bangalore"
238238,Mainland China,,900,561,"sarjapur road, bangalore"
238273,Lassi Point, Rolls,100,3,"marathahalli, bangalore"
238309,Kabab Mehal,,200,14400,"kanakapura road, bangalore"
238335,Hotel Empark, Sichuan,400,439,"wilson garden, bangalore"
238378,Simply Veg, Beverages,100,3088,"bommasandra, bangalore"
238379,Simply Veg, Beverages,400,3088,"bommasandra, bangalore"
238484,Cauvery Biryani House, Sichuan,250,378,"kr puram, bangalore"
238512,Kiran Chaats,,125,58,"basavanagudi, bangalore"
238515,The Pizzeria, Pasta,400,687,"bannerghatta road, bangalore"
238581,Al Makki's Restaurant,,400,36,"yeshwantpur, bangalore"
238583,Uruvalu Biryani, Sichuan,400,96,"survey 166, whitefield, bangalore"
238584,Lassi 'n' Mock, Shake,75,898,"sanjay nagar, bangalore"
238626,Zamindars Biryani Durbar,,400,1276,"kalyan nagar, bangalore"
238799,Kaveri Foods Andhrastyle, Ice Cream,150,5263,"bannerghatta road, bangalore"
238855,Food Manthra,,200,524,"jp nagar, bangalore"
238856,Food Manthra,,150,524,"jp nagar, bangalore"
238857,The Rice Bowl,,650,419,"hotel southern star, lavelle road, bangalore"
238897,Dilawar,,250,1473,"hennur, bangalore"
238951,Kabab Factory, Rolls,350,27000,"nagarbhavi, bangalore"
238952,Venkat Nellore Mess,,250,516,"banaswadi, bangalore"
238953,Little Cafe,,175,709,"basavanagudi, bangalore"
238954,New Kairali Restaurant,,200,1938,"kammanahalli, bangalore"
239000,The Grub Hub, Sandwich,200,158,"ejipura, bangalore"
239025,Sangam Mess, Beverages,150,4381,"kammanahalli, bangalore"
239029,Upahar Banashree, Beverages,200,1642,"bannerghatta road, bangalore"
239035,Curry Chufang, Sichuan,200,187,"kalyan nagar, bangalore"
