Restaurant,Cusines_all,price_for_one,delivery_review_number,location
Pancakes By Knight Bite,Desserts,150,31,"marathahalli, bangalore"
Gelatissimo,Ice Cream,250,31,"kalyan nagar, bangalore"
Burger It Up,Burger,250,40,"yeshwantpur, bangalore"
Rajasthani Bhojan,Rajasthani,100,219,"rajajinagar, bangalore"
Pattegar Donne Biriyani,Chinese,200,246,"vijay nagar, bangalore"
Ninan's Steak House,Steak,200,33,"bommanahalli, bangalore"
"Frozen Bottle - Milkshakes, Desserts and Ice Cream",Beverages,250,3499,"koramangala 5th block, bangalore"
"Frozen Bottle - Milkshakes, Desserts and Ice Cream",Beverages,175,3499,"koramangala 5th block, bangalore"
Gullu's Chat,Fast Food,125,8049,"seshadripuram, bangalore"
Schezwan Hub,Chinese,200,268,"electronic city, bangalore"
Donne Biryani House,Biryani,150,1706,"btm, bangalore"
Donne Biryani House,Biryani,200,1706,"btm, bangalore"
Naati Adda,South Indian,225,0,"electronic city, bangalore"
Burgers Kingdom,Burger,150,1965,"banaswadi, bangalore"
CupCake Noggins By CakeZone,Bakery,150,31,"electronic city, bangalore"
CupCake Noggins By CakeZone,Bakery,200,31,"electronic city, bangalore"
RollsKing,Rolls,200,14,"brookefield, bangalore"
Sathyams Delight,North Indian,150,118,"banashankari, bangalore"
Olio - The Wood Fired Pizzeria,Pizza,300,32,"kadubeesanahalli, bangalore"
Amma's Pastries,Bakery,50,1230,"varthur main road, whitefield, bangalore"
Amma's Pastries,Bakery,150,1230,"varthur main road, whitefield, bangalore"
Poha Point,Maharashtrian,100,1538,"koramangala 6th block, bangalore"
Anna Kuteera,South Indian,250,10300,"banashankari, bangalore"
Jai Maruthi 99 Variety Dosa & Pav Bhaji Corner,South Indian,150,3774,"electronic city, bangalore"
Kota Thali Wala,North Indian,150,24,"electronic city, bangalore"
Chai Days,Beverages,150,370,"kalyan nagar, bangalore"
IBC (Indian Biryani Company),Biryani,250,1152,"btm, bangalore"
Basmati Express,Chettinad,150,327,"kalyan nagar, bangalore"
Chai Bar,Tea,50,110,"old airport road, bangalore"
Sikandar,Rolls,250,242,"mg road, bangalore"
Tandoor Box,Fast Food,250,1667,"whitefield, bangalore"
Brik Oven,Cafe,500,717,"santosh tower, whitefield, bangalore"
Brik Oven,Cafe,250,717,"santosh tower, whitefield, bangalore"
ZAZA 22 Spice Awadhi Biryani,Biryani,250,270,"sarjapur road, bangalore"
Hyderabadi Biryani Utsav,Biryani,400,3581,"old madras road, bangalore"
The Momos,Momos,100,1,"hebbal, bangalore"
Kwality Wall’s Frozen Dessert and Ice Cream Shop,Ice Cream,100,301,"marathahalli, bangalore"
Kwality Wall’s Frozen Dessert and Ice Cream Shop,Ice Cream,200,301,"marathahalli, bangalore"
The Momo Co.,Chinese,250,180,"bommanahalli, bangalore"
Ambur Star Briyani Since 1890,Biryani,350,6004,"indiranagar, bangalore"
Shree Mahalakshmi Sweets,Mithai,100,2119,"basaveshwara nagar, bangalore"
Shree Mahalakshmi Sweets,Mithai,250,2119,"basaveshwara nagar, bangalore"
Foodeez Zone,North Indian,250,61,"new bel road, bangalore"
Fida Ambur Dum Biriyani And Kabab,Biryani,150,14,"bommanahalli, bangalore"
Ghee And Turmeric,North Indian,350,104,"kadubeesanahalli, bangalore"
Vinaya Royal Inn - Pan Asian Food,Chinese,325,24,"electronic city, bangalore"
Ambur Star Biryani Since 1890,Chinese,350,577,"rajarajeshwari nagar, bangalore"
Hokart - Raju j Hotel,South Indian,75,0,"bommanahalli, bangalore"
Behrouz Biryani,Biryani,500,6109,"hsr, bangalore"
Charcoal Chicken Barbecue,BBQ,200,41,"new bel road, bangalore"
SGM's Place,Chinese,100,2782,"electronic city, bangalore"
Davanagere  Mirchi Masala,South Indian,100,14,"basaveshwara nagar, bangalore"
PVR Café,Fast Food,200,65,"itpl main road, whitefield, bangalore"
Anand Bhavan Resturant,North Indian,250,31,"kr puram, bangalore"
The Dripping Cone,Ice Cream,250,157,"whitefield, bangalore"
Samosa Singh,Street Food,200,411,"basaveshwara nagar, bangalore"
Om Sri Vinayaka Chats,Street Food,75,159,"banashankari, bangalore"
