,restaurant_id,Name,Rating,cusines,delivery_review_number,location,Longitude,Latitude,Restaurant_link,price_for_one
4090,351,The Betel Leaf Co - Originally from Bangalore,4.2,"Paan, Desserts",181,Kalyan Nagar,77.6403368,13.0221416,https://www.zomato.com/bangalore/the-betel-leaf-co-originally-from-bangalore-kalyan-nagar-bangalore/order,200
4091,45,Kanti Sweets,4.4,"Mithai, Street Food",1953,Bannerghatta Road,77.6041899,12.9521804,https://www.zomato.com/bangalore/kanti-sweets-bannerghatta-road-bangalore/order,225
4092,2494,Fat Cat Pizza Company,4.2,Pizza,217,Indiranagar,77.6404672,12.9732913,https://www.zomato.com/bangalore/fat-cat-pizza-company-indiranagar-bangalore/order,250
4093,2495,Shiv Sagar Signature,4.0,"Street Food, Fast Food, Continental, Chinese, Shake, Sichuan",1475,JP Nagar,77.5782713,12.9072515,https://www.zomato.com/bangalore/shiv-sagar-signature-jp-nagar-bangalore/order,250
4094,2496,Sri Basaveshwara Khanavali,4.0,South Indian,953,CV Raman Nagar,77.6638971,12.9856596,https://www.zomato.com/bangalore/sri-basaveshwara-khanavali-cv-raman-nagar-bangalore/order,75
4095,1308,Anand Sweets And Savouries,4.3,"Mithai, Street Food, Beverages, Desserts",2099,Commercial Street,77.6082954,12.9822323,https://www.zomato.com/bangalore/anand-sweets-and-savouries-commercial-street-bangalore/order,150
4096,2063,The Dessert Heaven - Pure Veg,4.0,"Desserts, Bakery",14,Kadubeesanahalli,77.6972484,12.942199,https://www.zomato.com/bangalore/the-dessert-heaven-pure-veg-kadubeesanahalli-bangalore/order,100
4097,2497,Biryani@99,3.6,"North Indian, Chinese",224,Brookefield,77.7168891,12.9668213,https://www.zomato.com/bangalore/biryani@99-brookefield-bangalore/order,150
4098,2498,Potteery Nine Cafe,3.5,"North Indian, Mughlai, Beverages, Biryani, Desserts",112,Hebbal,77.5919,13.0382184,https://www.zomato.com/bangalore/potteery-nine-cafe-hebbal-bangalore/order,600
4099,113,Sreeraj Lassi Bar,4.0,"Beverages, Shake, Ice Cream, Desserts",478,Bannerghatta Road,77.6041899,12.9521804,https://www.zomato.com/bangalore/sreeraj-lassi-bar-bannerghatta-road-bangalore/order,150
4100,2499,Simply Indian,4.2,"North Indian, Chinese, Mughlai, Seafood, Street Food, Mangalorean",3615,Bannerghatta Road,77.6041899,12.9521804,https://www.zomato.com/bangalore/simply-indian-bannerghatta-road/order,400
4101,2500,New Green Gardenia,3.5,"North Indian, Chinese, Mughlai, Andhra, Kebab, Desserts, Beverages, Sichuan",1091,Rammurthy Nagar,77.6041899,12.9521804,https://www.zomato.com/bangalore/new-green-gardenia-rammurthy-nagar-bangalore/order,500
4102,2501,Temperature,4.2,"Beverages, Juices",273,Thippasandra,77.6509982,12.973936,https://www.zomato.com/bangalore/temperature-thippasandra-bangalore/order,75
4103,880,Kouzina Kafe - The Food Court,4.0,"Fast Food, North Indian, Shake, Continental",43,Jalahalli,77.5483803,13.0464531,https://www.zomato.com/bangalore/kouzina-kafe-the-food-court-jalahalli-bangalore/order,200
4104,136,CupCake Noggins By CakeZone,3.4,"Bakery, Desserts",453,Sarjapur Road,77.6653284,12.920441,https://www.zomato.com/bangalore/cupcake-noggins-by-cakezone-sarjapur-road-bangalore/order,200
4105,2502,Andhra Biryani Cafe,3.2,"Biryani, North Indian, Beverages, Shake",41,Whitefield,77.7497448,12.9696365,https://www.zomato.com/bangalore/andhra-biryani-cafe-whitefield-bangalore/order,200
4106,2503,Dosa Kuteera,4.0,South Indian,59,Bommanahalli,77.6239038,12.9089453,https://www.zomato.com/bangalore/dosa-kuteera-bommanahalli-bangalore/order,50
4107,428,Burger King,4.1,"Burger, Fast Food, Beverages, Desserts",23700,Indiranagar,77.6404672,12.9732913,https://www.zomato.com/bangalore/burger-king-indiranagar/order,200
4108,630,Sardarji Londonwaley,3.6,"North Indian, Chinese",7862,Bannerghatta Road,77.6041899,12.9521804,https://www.zomato.com/bangalore/sardarji-londonwaley-bannerghatta-road-bangalore/order,150
